Item,Fixation,Con Target Region,Incon Target Region
19,Middle,Lower,Middle
29,Middle,Lower,Upper
29,Lower,Lower,Upper
29,Lower,Lower,Upper
29,Lower,Lower,Upper
29,Lower,Lower,Upper
29,Middle,Lower,Upper
29,Middle,Lower,Upper
29,Lower,Lower,Upper
29,Lower,Lower,Upper
29,Lower,Lower,Upper
29,Lower,Lower,Upper
29,Middle,Lower,Upper
29,Middle,Lower,Upper
29,Upper,Lower,Upper
29,Upper,Lower,Upper
29,Middle,Lower,Upper
29,Middle,Lower,Upper
29,Lower,Lower,Upper
29,Middle,Lower,Upper
29,Middle,Lower,Upper
29,Middle,Lower,Upper
29,Middle,Lower,Upper
29,Middle,Lower,Upper
29,Lower,Lower,Upper
29,Lower,Lower,Upper
89,Middle,Upper,Middle
89,Middle,Upper,Middle
89,Upper,Upper,Middle
89,Upper,Upper,Middle
89,Upper,Upper,Middle
89,Lower,Upper,Middle
89,Lower,Upper,Middle
89,Upper,Upper,Middle
89,Upper,Upper,Middle
89,Middle,Upper,Middle
89,Middle,Upper,Middle
89,Middle,Upper,Middle
89,Middle,Upper,Middle
89,Upper,Upper,Middle
89,Middle,Upper,Middle
89,Middle,Upper,Middle
89,Middle,Upper,Middle
89,Middle,Upper,Middle
89,Upper,Upper,Middle
89,Upper,Upper,Middle
89,Upper,Upper,Middle
89,Lower,Upper,Middle
89,Middle,Upper,Middle
89,Middle,Upper,Middle
89,Middle,Upper,Middle
89,Middle,Upper,Middle
89,Middle,Upper,Middle
39,Middle,Middle,Upper
39,Middle,Middle,Upper
39,Middle,Middle,Upper
39,Middle,Middle,Upper
39,Middle,Middle,Upper
39,Upper,Middle,Upper
39,Upper,Middle,Upper
39,Middle,Middle,Upper
39,Middle,Middle,Upper
39,Middle,Middle,Upper
39,Middle,Middle,Upper
39,Middle,Middle,Upper
59,Middle,Middle,Lower
59,Middle,Middle,Lower
59,Middle,Middle,Lower
59,Middle,Middle,Lower
59,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Upper,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Lower,Middle,Lower
49,Middle,Middle,Lower
49,Upper,Middle,Lower
49,Upper,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Upper,Middle,Lower
49,Upper,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
49,Middle,Middle,Lower
121,Middle,Middle,Middle
121,Middle,Middle,Middle
121,Middle,Middle,Middle
121,Middle,Middle,Middle
121,Middle,Middle,Middle
121,Middle,Middle,Middle
121,Lower,Middle,Middle
121,Lower,Middle,Middle
121,Middle,Middle,Middle
121,Middle,Middle,Middle
121,Middle,Middle,Middle
50,Middle,Middle,Upper
50,Lower,Middle,Upper
50,Lower,Middle,Upper
50,Lower,Middle,Upper
50,Lower,Middle,Upper
50,Middle,Middle,Upper
50,Middle,Middle,Upper
50,Lower,Middle,Upper
50,Lower,Middle,Upper
50,Lower,Middle,Upper
50,Lower,Middle,Upper
50,Lower,Middle,Upper
