Cond,Item,Con_X1,Con_Y1,Con_X2,Con_Y2,Incon_X1,Incon_Y1,Incon_X2,InconY2
4,106,478,1,556,180,1,238,59,394
4,107,701,64,755,119,81,558,148,585
4,108,47,1,145,106,10,471,101,556
4,109,138,149,153,165,523,401,539,417
4,110,99,0,228,173,328,474,457,599
4,111,108,99,162,153,526,522,587,586
4,112,203,0,341,86,43,512,152,599
4,113,1,144,88,266,174,374,297,449
4,114,588,1,799,112,0,348,112,599
4,115,30,0,83,107,683,532,790,583
4,116,585,0,687,166,698,287,799,449
4,117,359,1,627,65,568,537,799,599
4,118,33,33,107,143,640,449,799,479
4,119,686,0,799,215,258,504,465,599
4,120,218,7,371,226,22,392,135,599
