Item,Scene Region,AOI
30,Middle,Expected
30,Middle,Expected
30,Middle,Expected
30,Middle,Expected
30,Middle,Expected
30,Upper,Expected
30,Upper,Expected
30,Upper,Expected
30,Middle,Expected
30,Middle,Irrelevant
30,Middle,Irrelevant
30,Middle,Irrelevant
30,Middle,Irrelevant
30,Middle,Irrelevant
30,Middle,Irrelevant
30,Middle,Irrelevant
10,Middle,Irrelevant
10,Middle,Irrelevant
10,Lower,Irrelevant
10,Middle,Irrelevant
10,Middle,Irrelevant
10,Lower,Irrelevant
10,Middle,Irrelevant
10,Middle,Irrelevant
10,Middle,Irrelevant
10,Middle,Irrelevant
10,Middle,Irrelevant
10,Upper,Expected
10,Upper,Expected
10,Middle,Irrelevant
10,Upper,Expected
10,Upper,Expected
10,Upper,Expected
10,Middle,Irrelevant
10,Middle,Irrelevant
10,Middle,Irrelevant
10,Middle,Irrelevant
10,Middle,Irrelevant
10,Middle,Irrelevant
10,Middle,Expected
10,Middle,Expected
10,Upper,Expected
10,Upper,Expected
10,Lower,Irrelevant
100,Middle,Irrelevant
100,Upper,Expected
100,Upper,Expected
100,Middle,Irrelevant
100,Middle,Irrelevant
100,Middle,Irrelevant
100,Middle,Irrelevant
100,Middle,Irrelevant
100,Lower,Irrelevant
100,Lower,Irrelevant
100,Middle,Irrelevant
100,Middle,Irrelevant
120,Middle,Irrelevant
120,Upper,Irrelevant
120,Upper,Irrelevant
120,Middle,Irrelevant
120,Upper,Expected
120,Upper,Expected
120,Upper,Irrelevant
120,Upper,Expected
120,Upper,"Expected, Target"
120,Upper,Irrelevant
120,Upper,Expected
120,Upper,Expected
120,Middle,Irrelevant
120,Middle,Irrelevant
120,Middle,Irrelevant
120,Middle,Irrelevant
120,Middle,Irrelevant
120,Middle,Irrelevant
120,Middle,Irrelevant
120,Middle,Irrelevant
120,Upper,Expected
120,Middle,Irrelevant
120,Middle,Irrelevant
120,Middle,Irrelevant
120,Middle,Irrelevant
120,Upper,Expected
120,Upper,Irrelevant
20,Middle,Irrelevant
20,Middle,Irrelevant
20,Upper,Expected
20,Middle,Irrelevant
20,Lower,Irrelevant
20,Lower,Irrelevant
20,Middle,Irrelevant
20,Lower,Irrelevant
20,Lower,Irrelevant
20,Middle,Irrelevant
20,Middle,Irrelevant
20,Middle,Irrelevant
20,Middle,Irrelevant
20,Middle,Irrelevant
20,Middle,Irrelevant
20,Middle,Irrelevant
20,Middle,Irrelevant
20,Middle,Irrelevant
20,Middle,Expected
20,Middle,Irrelevant
20,Lower,Irrelevant
20,Lower,Irrelevant
20,Lower,Irrelevant
20,Lower,Irrelevant
20,Middle,Irrelevant
20,Middle,Expected
20,Middle,Expected
20,Middle,Irrelevant
20,Middle,Irrelevant
60,Middle,Irrelevant
60,Middle,Irrelevant
60,Middle,Irrelevant
60,Middle,Irrelevant
60,Middle,Irrelevant
60,Upper,Expected
60,Upper,Expected
60,Middle,Irrelevant
60,Middle,Irrelevant
60,Middle,Irrelevant
41,Middle,Expected
41,Middle,Expected
41,Middle,Expected
41,Middle,Expected
41,Middle,"Expected, Target"
41,Middle,Expected
41,Middle,Expected
41,Middle,Expected
41,Middle,Expected
41,Upper,Irrelevant
41,Upper,Irrelevant
41,Upper,Irrelevant
41,Upper,Irrelevant
41,Middle,Irrelevant
41,Middle,Expected
41,Lower,Irrelevant
41,Middle,Expected
41,Middle,Expected
41,Middle,Expected
41,Middle,Expected
41,Middle,Expected
41,Middle,Expected
41,Upper,Irrelevant
41,Upper,Irrelevant
41,Upper,Irrelevant
41,Middle,Expected
1,Middle,Irrelevant
1,Middle,Irrelevant
1,Lower,"Expected, Target"
1,Lower,Expected
111,Middle,Irrelevant
111,Middle,Irrelevant
111,Upper,Expected
91,Middle,Irrelevant
91,Upper,Expected
11,Middle,Irrelevant
11,Lower,Expected
11,Lower,Expected
11,Middle,Irrelevant
81,Middle,Irrelevant
81,Middle,Irrelevant
81,Middle,Irrelevant
81,Middle,"Irrelevant, Target"
61,Upper,Irrelevant
61,Middle,Expected
61,Middle,Expected
61,Middle,Expected
61,Middle,Expected
61,Middle,Expected
61,Middle,Expected
61,Middle,"Expected, Target"
61,Middle,"Expected, Target"
61,Lower,Irrelevant
61,Middle,Expected
61,Upper,Irrelevant
61,Upper,Irrelevant
61,Middle,Expected
61,Middle,Expected
61,Middle,Expected
61,Middle,Expected
61,Middle,Expected
61,Upper,Irrelevant
61,Upper,Irrelevant
61,Upper,Irrelevant
61,Middle,Expected
61,Middle,"Expected, Target"
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Middle,Expected
51,Upper,Irrelevant
51,Upper,Irrelevant
51,Middle,Expected
51,Upper,Irrelevant
51,Middle,Expected
51,Middle,Expected
31,Middle,Irrelevant
31,Lower,Expected
31,Lower,Expected
21,Middle,Irrelevant
21,Middle,Irrelevant
21,Lower,Expected
71,Middle,Expected
71,Middle,Expected
71,Middle,"Expected, Target"
71,Middle,Expected
71,Middle,Expected
71,Middle,Expected
71,Middle,Expected
71,Middle,Expected
101,Middle,Irrelevant
101,Upper,Expected
92,Upper,Expected
92,Upper,"Expected, Target"
22,Middle,Irrelevant
22,Lower,Irrelevant
42,Middle,Irrelevant
42,Middle,Irrelevant
